utcTimestamp	region	temperature	flag
2015-01-01 00:00:00	101	14.14	1
2015-01-01 00:00:00	102	20.57	1
2015-01-01 00:00:00	103	27.39	1
2015-01-01 00:00:00	104	26.45	1
2015-01-01 01:00:00	101	12.31	1
2015-01-01 01:00:00	102	21.74	1
2015-01-01 01:00:00	103	23.63	1
2015-01-01 01:00:00	104	25.95	1
2015-01-01 02:00:00	101	11.18	1
2015-01-01 02:00:00	102	21.51	1
2015-01-01 02:00:00	103	23.51	1
2015-01-01 02:00:00	104	23.33	1
2015-01-01 03:00:00	101	14.2	1
2015-01-01 03:00:00	102	20.21	1
2015-01-01 03:00:00	103	25.09	1
2015-01-01 03:00:00	104	22.4	1
2015-01-01 04:00:00	101	11.12	1
2015-01-01 04:00:00	102	19.43	1
2015-01-01 04:00:00	103	22.59	1
2015-01-01 04:00:00	104	24.93	1
2015-01-01 05:00:00	101	9.42	1
2015-01-01 05:00:00	102	19.26	1
2015-01-01 05:00:00	103	25.29	1
2015-01-01 05:00:00	104	21.84	1
2015-01-01 06:00:00	101	12.04	1
2015-01-01 06:00:00	102	20.31	1
2015-01-01 06:00:00	103	23.49	1
2015-01-01 06:00:00	104	21.58	1
2015-01-01 07:00:00	101	10.85	1
2015-01-01 07:00:00	102	19.31	1
2015-01-01 07:00:00	103	24.64	1
2015-01-01 07:00:00	104	22.21	1
2015-01-01 08:00:00	101	12.93	1
2015-01-01 08:00:00	102	19.3	1
2015-01-01 08:00:00	103	21.87	1
2015-01-01 08:00:00	104	23	1
2015-01-01 09:00:00	101	13.72	1
2015-01-01 09:00:00	102	22.8	1
2015-01-01 09:00:00	103	25.18	1
2015-01-01 09:00:00	104	26.53	1
2015-01-01 10:00:00	101	15.08	1
2015-01-01 10:00:00	102	22.91	1
2015-01-01 10:00:00	103	29.19	1
2015-01-01 10:00:00	104	27.35	1
2015-01-01 11:00:00	101	13.21	1
2015-01-01 11:00:00	102	24.87	1
2015-01-01 11:00:00	103	27.64	1
2015-01-01 11:00:00	104	28.12	1
2015-01-01 12:00:00	101	14.77	1
2015-01-01 12:00:00	102	23.27	1
2015-01-01 12:00:00	103	30.5	1
2015-01-01 12:00:00	104	29.95	1
2015-01-01 13:00:00	101	14.53	1
2015-01-01 13:00:00	102	27.73	1
